"Designator","MPN","Quantity Per PCB","Link"
"C206,C207","","2","https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949"
"C201,C202","","2","https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB221/C107145"
"C501","","1","https://jlcpcb.com/partdetail/Tdk-C3216X7R1E335KT000N/C76663"
"C101,C102,C103,C105,C106,C203,C204,C210,C211,C212,C213,C216,C303,C304,C403,C404","","16","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331"
"C104,C302,C402","","3","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923"
"C214","","1","https://jlcpcb.com/partdetail/97651-CL10A106MA8NRNC/C96446"
"C215","","1","https://jlcpcb.com/partdetail/-TAJB107K006RNJ/C16133"
"C301,C401","","2","https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323"
"D202","","1","https://jlcpcb.com/partdetail/2485-1N4148WS/C2128"
"D207,D208","","2","https://jlcpcb.com/partdetail/DiodesIncorporated-AZ23C5V6_7F/C98737"
"D101","","1","https://jlcpcb.com/partdetail/Lrc-LBZT52B5V6T1G/C2912016"
"D201","","1","https://jlcpcb.com/partdetail/Onsemi-ESD9B33ST5G/C96512"
"D108,D109,D110,D111","","4","https://jlcpcb.com/partdetail/Xinglight-XL_1608UGC04/C965804"
"D301,D401","","2","https://jlcpcb.com/partdetail/Xinglight-XL_1608VRC06/C7371906"
"D102,D103,D104,D203,D204,D205,D206","","7","https://jlcpcb.com/partdetail/Xinglight-XL_1608VRC06/C7371906"
"D105,D106,D107","","3","https://jlcpcb.com/partdetail/Xinglight-XL_1608UYC04/C965803"
"FB201,FB301,FB401","","3","https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015"
"J204,J301,J401","","3","https://jlcpcb.com/partdetail/Molex-475900001/C136001"
"Q101,Q201,Q501","","3","https://jlcpcb.com/partdetail/9040-2N7002/C8545"
"Q502","","1","https://jlcpcb.com/partdetail/mdd_microdiode_electronics-BSS84/C427395"
"R213,R301,R401","","3","https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168"
"R102","","1","https://jlcpcb.com/partdetail/Isabellenhuette-VMS_R010_1_0U/C466594"
"R209,R210","","2","https://jlcpcb.com/partdetail/23677-0603WAF200JT5E/C22950"
"R203","","1","https://jlcpcb.com/partdetail/18646-1206W4F220JT5E/C17958"
"R103,R104,R218,R219,R220,R221","","6","https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076"
"R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R214,R215,R216,R217,R302,R402,R503","","17","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R208","","1","https://jlcpcb.com/partdetail/26610-0402WGF1501TCE/C25867"
"R206,R207","","2","https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900"
"R101,R201,R205,R211","","4","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"R507","","1","https://jlcpcb.com/partdetail/Yageo-RT0603BRE0716K5L/C861693"
"R501","","1","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741"
"R502","","1","https://jlcpcb.com/partdetail/302237-RC02W1653FT/C321332"
"R504,R505,R506","","3","https://jlcpcb.com/partdetail/VikingTech-ARG03BTC3003/C335091"
"R202,R204,R212","","3","https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900"
"SW501","","1","https://jlcpcb.com/partdetail/XkbConnection-TS_1187A_B_AB/C318884"
"SW201","","1","https://jlcpcb.com/partdetail/XkbConnection-TS_1187A_B_AB/C318884"
"U102,U103","","2","https://jlcpcb.com/partdetail/TexasInstruments-SN74HC164PWR/C406867"
"U203","","1","https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186"
"U101","","1","https://jlcpcb.com/partdetail/TexasInstruments-BQ34Z100PWRG1/C91302"
"U303,U403","","2","https://jlcpcb.com/partdetail/wch_jiangsu_Qin_heng-CH340N/C2977777"
"U201","","1","https://jlcpcb.com/partdetail/Stmicroelectronics-STM32F103CBT6/C8304"
"U202,U301,U401","","3","https://jlcpcb.com/partdetail/TechPublic-USBLC62SC6/C2827654"
"U302,U402","","2","https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MR/C5446"
"Y202","","1","https://jlcpcb.com/partdetail/SeikoEpson-Q13FC1350000400/C32346"
"Y201","","1","https://jlcpcb.com/partdetail/YangxingTech-X50328MSB2GI/C115962"
